id,subject,difficulty_level,question_text,correct_answer,options,question_type,tags
1,frontend_web_dev,1,What does HTML stand for?,HyperText Markup Language,"[""Home Tool Markup Language"", ""HyperText Markup Language"", ""Hyperlink Text Markup Language"", ""High Tech Modern Language""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_1""]"
2,frontend_web_dev,1,Which HTML tag creates a hyperlink?,<a>,"[""<url>"", ""<href>"", ""<a>"", ""<link>""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_1""]"
3,frontend_web_dev,1,What is the purpose of the <head> section?,Contains metadata,"[""Contains metadata"", ""Contains metadata about the document"", ""Displays content"", ""Creates headers""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_1""]"
4,frontend_web_dev,1,Which attribute makes an input field required?,required,"[""necessary"", ""needed"", ""required"", ""mandatory""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_1""]"
5,frontend_web_dev,1,What does the <br> tag do?,Line break,"[""Border"", ""Creates a line break in text"", ""Line break"", ""Bold text""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_1""]"
6,frontend_web_dev,2,How do you center text horizontally in CSS?,text-align: center,"[""center: text"", ""horizontal-align: center"", ""text-align: center"", ""align: center""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_2""]"
7,frontend_web_dev,2,Which CSS property controls the space between elements?,margin,"[""padding"", ""spacing"", ""margin"", ""gap""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_2""]"
8,frontend_web_dev,2,What does the z-index property control?,Stacking order,"[""Controls the stacking order of elements"", ""Font size"", ""Color depth"", ""Stacking order""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_2""]"
9,frontend_web_dev,2,How do you make text bold in CSS?,font-weight: bold,"[""font-bold: yes"", ""bold: true"", ""text-style: bold"", ""font-weight: bold""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_2""]"
10,frontend_web_dev,2,Which unit is relative to the font size?,em,"[""cm"", ""px"", ""pt"", ""em""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_2""]"
11,frontend_web_dev,3,How do you declare a constant in JavaScript?,const,"[""constant"", ""const"", ""final"", ""readonly""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_3""]"
12,frontend_web_dev,3,Which method converts a string to uppercase?,toUpperCase(),"[""toUpper()"", ""toUpperCase()"", ""uppercase()"", ""upper()""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_3""]"
13,frontend_web_dev,3,What does the typeof operator return for an array?,object,"[""collection"", ""array"", ""object"", ""list""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_3""]"
14,frontend_web_dev,3,How do you add an event listener in JavaScript?,addEventListener(),"[""addEventListener()"", ""on()"", ""addEvent()"", ""listen()""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_3""]"
15,frontend_web_dev,3,Which method removes whitespace from both ends of a string?,trim(),"[""removeSpaces()"", ""trim()"", ""clean()"", ""strip()""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_3""]"
16,frontend_web_dev,4,How do you select an element by its class name?,getElementsByClassName(),"[""getElementsByClassName()"", ""selectByClass()"", ""getClass()"", ""findClass()""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_4""]"
17,frontend_web_dev,4,Which property changes the HTML content of an element?,innerHTML,"[""content"", ""text"", ""html"", ""innerHTML""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_4""]"
18,frontend_web_dev,4,How do you create a new HTML element in JavaScript?,createElement(),"[""addElement()"", ""createElement()"", ""newElement()"", ""makeElement()""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_4""]"
19,frontend_web_dev,4,Which method removes a child element?,removeChild(),"[""destroy()"", ""removeChild()"", ""deleteChild()"", ""remove()""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_4""]"
20,frontend_web_dev,4,How do you get the value of an input field?,element.value,"[""element.value"", ""element.content"", ""element.text"", ""element.data""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_4""]"
21,frontend_web_dev,5,What is the difference between let and const?,const cannot be reassigned,"[""const cannot be reassigned after declaration"", ""let is faster"", ""const cannot be reassigned"", ""No difference""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_5""]"
22,frontend_web_dev,5,Which method creates a new array with filtered elements?,filter(),"[""filter()"", ""select()"", ""find()"", ""where()""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_5""]"
23,frontend_web_dev,5,What does the spread operator (...) do?,Expands arrays/objects,"[""Multiplies values"", ""Expands arrays/objects"", ""Expands arrays and objects into elements"", ""Creates ranges""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_5""]"
24,frontend_web_dev,5,How do you handle errors in JavaScript?,try...catch,"[""try...catch"", ""error...handle"", ""catch...error"", ""handle...exception""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_5""]"
25,frontend_web_dev,5,Which method executes a function for each array element?,forEach(),"[""each()"", ""forEach()"", ""loop()"", ""iterate()""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_5""]"
26,frontend_web_dev,6,What is destructuring assignment?,Extract values from arrays/objects,"[""Delete properties"", ""Destroy variables"", ""Extract values from arrays/objects"", ""Extracting values from arrays and objects""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_6""]"
27,frontend_web_dev,6,How do you define a template literal?,Backticks (`),"[""Forward slashes"", ""Backticks (`)"", ""Double quotes"", ""Single quotes""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_6""]"
28,frontend_web_dev,6,What does Promise.all() do?,Waits for all promises,"[""Waits for all promises"", ""Creates promises"", ""Cancels promises"", ""Waits for all promises to resolve""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_6""]"
29,frontend_web_dev,6,How do you define default parameters?,function(param = value),"[""function(param := value)"", ""function(param default value)"", ""function(param = value)"", ""function(param || value)""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_6""]"
30,frontend_web_dev,6,What is the purpose of Symbol in JavaScript?,Unique identifiers,"[""Unique identifiers"", ""Mathematical symbols"", ""Creates unique primitive identifiers"", ""String symbols""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_6""]"
31,frontend_web_dev,7,What is JSX?,JavaScript XML syntax,"[""Java Syntax Extension"", ""JavaScript XML syntax extension"", ""JSON XML"", ""JavaScript XML syntax""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_7""]"
32,frontend_web_dev,7,How do you pass data to a child component?,Props,"[""State"", ""Properties passed to components"", ""Parameters"", ""Props""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_7""]"
33,frontend_web_dev,7,Which hook manages component state?,useState,"[""useState"", ""useContext"", ""useReducer"", ""useEffect""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_7""]"
34,frontend_web_dev,7,What triggers a component re-render?,State change,"[""State change"", ""State or props change"", ""Function call"", ""Props change""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_7""]"
35,frontend_web_dev,7,How do you handle form submission in React?,onSubmit event,"[""onSubmit event handler"", ""onSend"", ""onClick"", ""onSubmit event""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_7""]"
36,frontend_web_dev,8,What is the purpose of useEffect?,Handle side effects,"[""Manage state"", ""Handle side effects"", ""Handle side effects in components"", ""Create effects""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_8""]"
37,frontend_web_dev,8,How do you optimize React performance?,React.memo,"[""useState"", ""React.memo for component memoization"", ""React.memo"", ""useEffect""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_8""]"
38,frontend_web_dev,8,What is prop drilling?,Passing props through levels,"[""Passing props through multiple levels"", ""Passing props through levels"", ""Drilling holes"", ""Creating props""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_8""]"
39,frontend_web_dev,8,How do you share state between components?,Context API,"[""Props only"", ""Global variables"", ""Context API or state management"", ""Context API""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_8""]"
40,frontend_web_dev,8,What is the purpose of useCallback?,Memoize functions,"[""Call functions"", ""Memoize functions"", ""Create callbacks"", ""Memoize functions to prevent recreation""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_8""]"
41,frontend_web_dev,9,What is code splitting?,Divide code into chunks,"[""Divide code into chunks"", ""Break code"", ""Dividing code into loadable chunks"", ""Split strings""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_9""]"
42,frontend_web_dev,9,How do you implement lazy loading?,React.lazy(),"[""loadLazy()"", ""lazy()"", ""React.lazy()"", ""React.lazy() with Suspense""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_9""]"
43,frontend_web_dev,9,What is tree shaking?,Remove unused code,"[""Removing unused code from bundles"", ""Optimize trees"", ""Remove unused code"", ""Shake DOM tree""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_9""]"
44,frontend_web_dev,9,How do you measure performance?,Performance API,"[""Performance API"", ""Console timing"", ""Performance API and profiling tools"", ""Manual timing""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_9""]"
45,frontend_web_dev,9,What is the purpose of service workers?,Background processing,"[""Background processing"", ""UI workers"", ""Service calls"", ""Background processing and caching""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_9""]"
46,frontend_web_dev,10,How do you implement micro-frontends?,Module federation,"[""Micro services"", ""Module federation"", ""Single SPA"", ""Module federation and routing""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_10""]"
47,frontend_web_dev,10,What is server-side rendering?,Render on server,"[""Client rendering"", ""Render on server"", ""Rendering HTML on server side"", ""Service rendering""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_10""]"
48,frontend_web_dev,10,How do you handle large datasets?,Virtual scrolling,"[""Virtual scrolling and pagination"", ""Cache everything"", ""Virtual scrolling"", ""Load all data""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_10""]"
49,frontend_web_dev,10,What is progressive web app?,Web app with native features,"[""Advanced web app"", ""Web app with native capabilities"", ""Web app with native features"", ""Progressive loading""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_10""]"
50,frontend_web_dev,10,How do you implement real-time updates?,WebSockets,"[""AJAX calls"", ""HTTP polling"", ""WebSockets"", ""WebSockets or Server-Sent Events""]",multiple_choice,"[""frontend_web_dev"", ""difficulty_10""]"
51,backend_web_dev,1,What does REST stand for?,Representational State Transfer,"[""Representational State Transfer"", ""Recursive State Transfer"", ""Relational State Transfer"", ""Remote State Transfer""]",multiple_choice,"[""backend_web_dev"", ""difficulty_1""]"
52,backend_web_dev,1,Which HTTP method deletes a resource?,DELETE,"[""DROP"", ""REMOVE"", ""DELETE"", ""DESTROY""]",multiple_choice,"[""backend_web_dev"", ""difficulty_1""]"
53,backend_web_dev,1,What is the purpose of HTTP headers?,Metadata about request/response,"[""Main content"", ""Authentication only"", ""Metadata about request/response"", ""Metadata about the request or response""]",multiple_choice,"[""backend_web_dev"", ""difficulty_1""]"
54,backend_web_dev,1,"Which status code indicates ""Not Found""?",404,"[""404"", ""403"", ""500"", ""400""]",multiple_choice,"[""backend_web_dev"", ""difficulty_1""]"
55,backend_web_dev,1,What does CRUD stand for?,"Create, Read, Update, Delete","[""Create, Retrieve, Update, Delete"", ""Create, Read, Update, Delete"", ""Create, Read, Upload, Delete"", ""Copy, Read, Update, Delete""]",multiple_choice,"[""backend_web_dev"", ""difficulty_1""]"
56,backend_web_dev,2,What is a primary key?,Unique identifier,"[""First column"", ""Unique identifier for table rows"", ""Unique identifier"", ""Main key""]",multiple_choice,"[""backend_web_dev"", ""difficulty_2""]"
57,backend_web_dev,2,Which SQL command retrieves data?,SELECT,"[""GET"", ""RETRIEVE"", ""SELECT"", ""FETCH""]",multiple_choice,"[""backend_web_dev"", ""difficulty_2""]"
58,backend_web_dev,2,What is a foreign key?,Reference to another table,"[""Reference to another table"", ""External key"", ""Secondary key"", ""Reference to primary key in another table""]",multiple_choice,"[""backend_web_dev"", ""difficulty_2""]"
59,backend_web_dev,2,Which command adds data to a table?,INSERT,"[""ADD"", ""PUT"", ""CREATE"", ""INSERT""]",multiple_choice,"[""backend_web_dev"", ""difficulty_2""]"
60,backend_web_dev,2,What is database normalization?,Reduce data redundancy,"[""Make data normal"", ""Reduce data redundancy"", ""Organizing data to reduce redundancy"", ""Standardize format""]",multiple_choice,"[""backend_web_dev"", ""difficulty_2""]"
61,backend_web_dev,3,What is JSON Web Token used for?,Authentication,"[""Data storage"", ""JSON parsing"", ""Secure authentication and authorization"", ""Authentication""]",multiple_choice,"[""backend_web_dev"", ""difficulty_3""]"
62,backend_web_dev,3,Which HTTP method is idempotent?,PUT,"[""PATCH"", ""POST"", ""CREATE"", ""PUT""]",multiple_choice,"[""backend_web_dev"", ""difficulty_3""]"
63,backend_web_dev,3,What is API versioning?,Manage API changes,"[""Version control"", ""API documentation"", ""Manage API changes"", ""Managing changes to API over time""]",multiple_choice,"[""backend_web_dev"", ""difficulty_3""]"
64,backend_web_dev,3,What does CORS prevent?,Cross-origin requests,"[""All requests"", ""Server errors"", ""Cross-origin requests"", ""Unauthorized cross-origin requests""]",multiple_choice,"[""backend_web_dev"", ""difficulty_3""]"
65,backend_web_dev,3,What is rate limiting?,Control request frequency,"[""Speed control"", ""Controlling the frequency of requests"", ""Limit features"", ""Control request frequency""]",multiple_choice,"[""backend_web_dev"", ""difficulty_3""]"
66,backend_web_dev,4,What is middleware?,Software between layers,"[""Middle software"", ""Database layer"", ""Software that sits between layers"", ""Software between layers""]",multiple_choice,"[""backend_web_dev"", ""difficulty_4""]"
67,backend_web_dev,4,What is load balancing?,Distribute traffic,"[""Server balancing"", ""Distributing traffic across servers"", ""Balance servers"", ""Distribute traffic""]",multiple_choice,"[""backend_web_dev"", ""difficulty_4""]"
68,backend_web_dev,4,What is caching?,Store frequently used data,"[""Storing frequently accessed data"", ""Hide data"", ""Data backup"", ""Store frequently used data""]",multiple_choice,"[""backend_web_dev"", ""difficulty_4""]"
69,backend_web_dev,4,What is horizontal scaling?,Add more servers,"[""Adding more servers to handle load"", ""Increase server power"", ""Add more servers"", ""Scale sideways""]",multiple_choice,"[""backend_web_dev"", ""difficulty_4""]"
70,backend_web_dev,4,What is a reverse proxy?,Server-side proxy,"[""Client proxy"", ""Proxy server for backend servers"", ""Server-side proxy"", ""Backward proxy""]",multiple_choice,"[""backend_web_dev"", ""difficulty_4""]"
71,backend_web_dev,5,What is database indexing?,Improve query speed,"[""Improve query speed"", ""Data structure to improve query speed"", ""Index pages"", ""Number records""]",multiple_choice,"[""backend_web_dev"", ""difficulty_5""]"
72,backend_web_dev,5,What is a database transaction?,Atomic operation unit,"[""Database purchase"", ""Data transfer"", ""Unit of work that is atomic"", ""Atomic operation unit""]",multiple_choice,"[""backend_web_dev"", ""difficulty_5""]"
73,backend_web_dev,5,What does ACID stand for?,"Atomicity, Consistency, Isolation, Durability","[""Atomic, Consistent, Isolated, Durable"", ""Advanced, Complete, Integrated, Dependable"", ""Database properties for reliability"", ""Atomicity, Consistency, Isolation, Durability""]",multiple_choice,"[""backend_web_dev"", ""difficulty_5""]"
74,backend_web_dev,5,What is database sharding?,Partition data horizontally,"[""Partition data horizontally"", ""Share database"", ""Break database"", ""Partitioning data across databases""]",multiple_choice,"[""backend_web_dev"", ""difficulty_5""]"
75,backend_web_dev,5,What is connection pooling?,Reuse database connections,"[""Reusing database connections efficiently"", ""Pool connections"", ""Connect pools"", ""Reuse database connections""]",multiple_choice,"[""backend_web_dev"", ""difficulty_5""]"
76,backend_web_dev,6,What is SQL injection?,Malicious SQL code,"[""Database injection"", ""Malicious SQL code"", ""SQL medicine"", ""Inserting malicious SQL code""]",multiple_choice,"[""backend_web_dev"", ""difficulty_6""]"
77,backend_web_dev,6,What is OAuth?,Authorization framework,"[""Password system"", ""Authentication only"", ""Authorization framework"", ""Open authorization framework""]",multiple_choice,"[""backend_web_dev"", ""difficulty_6""]"
78,backend_web_dev,6,What is HTTPS?,Secure HTTP,"[""High-speed HTTP"", ""Fast HTTP"", ""Secure HTTP"", ""HTTP with SSL/TLS encryption""]",multiple_choice,"[""backend_web_dev"", ""difficulty_6""]"
79,backend_web_dev,6,What is input validation?,Verify input data,"[""Verify input data"", ""Input checking"", ""Verifying input data is safe"", ""Validate forms""]",multiple_choice,"[""backend_web_dev"", ""difficulty_6""]"
80,backend_web_dev,6,What is session management?,Track user state,"[""Manage meetings"", ""Tracking user state across requests"", ""Track user state"", ""Session storage""]",multiple_choice,"[""backend_web_dev"", ""difficulty_6""]"
81,backend_web_dev,7,What are microservices?,Small independent services,"[""Small independent deployable services"", ""Tiny services"", ""Small independent services"", ""Micro applications""]",multiple_choice,"[""backend_web_dev"", ""difficulty_7""]"
82,backend_web_dev,7,What is service discovery?,Find service locations,"[""Discover services"", ""Service detection"", ""Mechanism to find service locations"", ""Find service locations""]",multiple_choice,"[""backend_web_dev"", ""difficulty_7""]"
83,backend_web_dev,7,What is an API gateway?,Single entry point,"[""Gateway API"", ""API door"", ""Single entry point for APIs"", ""Single entry point""]",multiple_choice,"[""backend_web_dev"", ""difficulty_7""]"
84,backend_web_dev,7,What is eventual consistency?,Consistency over time,"[""System becomes consistent eventually"", ""Consistency over time"", ""Final consistency"", ""Immediate consistency""]",multiple_choice,"[""backend_web_dev"", ""difficulty_7""]"
85,backend_web_dev,7,What is circuit breaker pattern?,Prevent cascading failures,"[""Stop failures"", ""Break circuits"", ""Pattern to prevent cascading failures"", ""Prevent cascading failures""]",multiple_choice,"[""backend_web_dev"", ""difficulty_7""]"
86,backend_web_dev,8,What is database replication?,Copy data across servers,"[""Copying data across multiple servers"", ""Replicate queries"", ""Copy data across servers"", ""Duplicate database""]",multiple_choice,"[""backend_web_dev"", ""difficulty_8""]"
87,backend_web_dev,8,What is CDN?,Content Delivery Network,"[""Content Distribution Network"", ""Network for delivering content globally"", ""Content Delivery Network"", ""Central Data Network""]",multiple_choice,"[""backend_web_dev"", ""difficulty_8""]"
88,backend_web_dev,8,What is lazy loading?,Load data when needed,"[""Loading data only when needed"", ""Slow loading"", ""Delayed loading"", ""Load data when needed""]",multiple_choice,"[""backend_web_dev"", ""difficulty_8""]"
89,backend_web_dev,8,What is database partitioning?,Divide data into parts,"[""Separate database"", ""Partition tables"", ""Divide data into parts"", ""Dividing data into manageable parts""]",multiple_choice,"[""backend_web_dev"", ""difficulty_8""]"
90,backend_web_dev,8,What is message queuing?,Asynchronous communication,"[""Queue messages"", ""Message storage"", ""Asynchronous communication"", ""Asynchronous communication pattern""]",multiple_choice,"[""backend_web_dev"", ""difficulty_8""]"
91,backend_web_dev,9,What is CAP theorem?,"Consistency, Availability, Partition tolerance","[""Complete, Available, Persistent"", ""Distributed systems trade-offs"", ""Capacity, Availability, Performance"", ""Consistency, Availability, Partition tolerance""]",multiple_choice,"[""backend_web_dev"", ""difficulty_9""]"
92,backend_web_dev,9,What is consensus algorithm?,Agreement in distributed systems,"[""Algorithm for distributed agreement"", ""Agreement in distributed systems"", ""Consensus building"", ""Voting algorithm""]",multiple_choice,"[""backend_web_dev"", ""difficulty_9""]"
93,backend_web_dev,9,What is event sourcing?,Store events not state,"[""Storing events instead of current state"", ""Store events not state"", ""Source events"", ""Event tracking""]",multiple_choice,"[""backend_web_dev"", ""difficulty_9""]"
94,backend_web_dev,9,What is CQRS?,Command Query Responsibility Segregation,"[""Separating read and write models"", ""Command Query Response System"", ""Command Query Responsibility Segregation"", ""Command Query Result Set""]",multiple_choice,"[""backend_web_dev"", ""difficulty_9""]"
95,backend_web_dev,9,What is saga pattern?,Distributed transaction management,"[""Saga database"", ""Managing distributed transactions"", ""Distributed transaction management"", ""Story pattern""]",multiple_choice,"[""backend_web_dev"", ""difficulty_9""]"
96,backend_web_dev,10,How do you handle distributed locks?,Consensus-based locking,"[""Consensus-based locking"", ""Database locks"", ""Using consensus algorithms for locking"", ""File locking""]",multiple_choice,"[""backend_web_dev"", ""difficulty_10""]"
97,backend_web_dev,10,What is Byzantine fault tolerance?,Handle malicious nodes,"[""Byzantine history"", ""Handle malicious nodes"", ""Fault tolerance"", ""Handling malicious or faulty nodes""]",multiple_choice,"[""backend_web_dev"", ""difficulty_10""]"
98,backend_web_dev,10,How do you design for 99.99% uptime?,Redundancy and failover,"[""Redundancy and failover"", ""Single server"", ""High availability"", ""Multiple redundancy and failover systems""]",multiple_choice,"[""backend_web_dev"", ""difficulty_10""]"
99,backend_web_dev,10,What is distributed tracing?,Track requests across services,"[""Tracking requests across microservices"", ""Track requests across services"", ""Service tracing"", ""Trace distribution""]",multiple_choice,"[""backend_web_dev"", ""difficulty_10""]"
100,backend_web_dev,10,How do you handle data consistency at scale?,Eventual consistency patterns,"[""Eventual consistency patterns"", ""Using eventual consistency patterns"", ""Strong consistency"", ""Consistent scaling""]",multiple_choice,"[""backend_web_dev"", ""difficulty_10""]"
101,software_engineering,1,What does DRY principle mean?,Don't Repeat Yourself,"[""Dynamic Resource Yielding"", ""Don't Repeat Yourself"", ""Do Repeat Yourself"", ""Data Retrieval Yield""]",multiple_choice,"[""software_engineering"", ""difficulty_1""]"
102,software_engineering,1,What is version control?,Track file changes,"[""Version management"", ""Control versions"", ""Track file changes"", ""System for tracking changes in files""]",multiple_choice,"[""software_engineering"", ""difficulty_1""]"
103,software_engineering,1,What is code refactoring?,Improve code structure,"[""Factor code"", ""Improve code structure"", ""Improving code without changing behavior"", ""Rewrite code""]",multiple_choice,"[""software_engineering"", ""difficulty_1""]"
104,software_engineering,1,What is a software bug?,Error in code,"[""Error or flaw in software code"", ""Software insect"", ""Error in code"", ""Bug report""]",multiple_choice,"[""software_engineering"", ""difficulty_1""]"
105,software_engineering,1,What is debugging?,Find and fix errors,"[""Find and fix errors"", ""Debug mode"", ""Process of finding and fixing errors"", ""Remove bugs""]",multiple_choice,"[""software_engineering"", ""difficulty_1""]"
106,software_engineering,2,What is pair programming?,"Two developers, one computer","[""Two developers, one computer"", ""Two developers working together"", ""Paired coding"", ""Programming pairs""]",multiple_choice,"[""software_engineering"", ""difficulty_2""]"
107,software_engineering,2,What is code review?,Examine code for quality,"[""Examine code for quality"", ""Systematic examination of code"", ""Review code"", ""Code inspection""]",multiple_choice,"[""software_engineering"", ""difficulty_2""]"
108,software_engineering,2,What is technical debt?,Cost of quick solutions,"[""Money owed"", ""Cost of quick solutions"", ""Technical payment"", ""Cost of choosing quick over good solutions""]",multiple_choice,"[""software_engineering"", ""difficulty_2""]"
109,software_engineering,2,What is continuous integration?,Frequent code merging,"[""Continuous coding"", ""Frequently merging code changes"", ""Integration testing"", ""Frequent code merging""]",multiple_choice,"[""software_engineering"", ""difficulty_2""]"
110,software_engineering,2,What is agile methodology?,Iterative development,"[""Agile programming"", ""Fast development"", ""Iterative development"", ""Iterative and flexible development""]",multiple_choice,"[""software_engineering"", ""difficulty_2""]"
111,software_engineering,3,What is unit testing?,Test individual components,"[""Test individual components"", ""Testing individual software components"", ""Unit validation"", ""Test units""]",multiple_choice,"[""software_engineering"", ""difficulty_3""]"
112,software_engineering,3,What is integration testing?,Test component interactions,"[""Testing interactions between components"", ""Test component interactions"", ""Integrate tests"", ""Integration validation""]",multiple_choice,"[""software_engineering"", ""difficulty_3""]"
113,software_engineering,3,What is test-driven development?,Write tests first,"[""Test while developing"", ""Write tests first"", ""Writing tests before implementation"", ""Driven by tests""]",multiple_choice,"[""software_engineering"", ""difficulty_3""]"
114,software_engineering,3,What is regression testing?,Test after changes,"[""Backward testing"", ""Testing after code changes"", ""Test after changes"", ""Regress tests""]",multiple_choice,"[""software_engineering"", ""difficulty_3""]"
115,software_engineering,3,What is code coverage?,Measure tested code,"[""Measuring how much code is tested"", ""Cover code"", ""Code protection"", ""Measure tested code""]",multiple_choice,"[""software_engineering"", ""difficulty_3""]"
116,software_engineering,4,What is Singleton pattern?,One instance only,"[""Alone pattern"", ""One instance only"", ""Ensuring only one instance exists"", ""Single pattern""]",multiple_choice,"[""software_engineering"", ""difficulty_4""]"
117,software_engineering,4,What is Factory pattern?,Create objects without specifying class,"[""Object factory"", ""Manufacturing pattern"", ""Creating objects without specifying exact class"", ""Create objects without specifying class""]",multiple_choice,"[""software_engineering"", ""difficulty_4""]"
118,software_engineering,4,What is Observer pattern?,Notify multiple objects,"[""Observation pattern"", ""Notify multiple objects"", ""Notifying multiple objects of changes"", ""Watch objects""]",multiple_choice,"[""software_engineering"", ""difficulty_4""]"
119,software_engineering,4,What is Strategy pattern?,Interchangeable algorithms,"[""Interchangeable algorithms"", ""Making algorithms interchangeable"", ""Strategic pattern"", ""Strategy planning""]",multiple_choice,"[""software_engineering"", ""difficulty_4""]"
120,software_engineering,4,What is Decorator pattern?,Add behavior dynamically,"[""Decoration pattern"", ""Decorate objects"", ""Add behavior dynamically"", ""Adding behavior to objects dynamically""]",multiple_choice,"[""software_engineering"", ""difficulty_4""]"
121,software_engineering,5,What is Single Responsibility Principle?,One reason to change,"[""One responsibility"", ""Class should have one reason to change"", ""One reason to change"", ""Single responsibility""]",multiple_choice,"[""software_engineering"", ""difficulty_5""]"
